Observation,Column,Row,Trough,Density,Weight Grams,PPFD,Spectrum
176,a,8,4,7,,159,blue
177,a,9,4,7,11,155,blue
178,a,10,4,5,,155,blue
179,a,11,4,4,4,154,blue
180,a,12,4,8,,154,blue
181,a,13,4,19,8,139,blue
182,a,14,4,,,139,blue
183,b,1,4,3,,167,blue
184,b,2,4,4,,167,blue
185,b,3,4,5,7,217,blue
186,b,4,4,8,,217,blue
187,b,5,4,7,10,235,blue
188,b,6,4,7,,235,blue
189,b,7,4,8,8,246,blue
190,b,8,4,4,,246,blue
191,b,9,4,10,16,245,blue
192,b,10,4,1,,245,blue
193,b,11,4,3,10,230,blue
194,b,12,4,2,,230,blue
195,b,13,4,9,6,206,blue
196,b,14,4,5,,206,blue
197,c,1,4,7,8,155,blue
198,c,2,4,3,,155,blue
199,c,3,4,8,11,209,blue
200,c,4,4,7,,209,blue
201,c,5,4,6,5,222,blue
202,c,6,4,1,,222,blue
203,c,7,4,8,4,230,blue
204,c,8,4,5,,230,blue
205,c,9,4,12,8,217,blue
206,c,10,4,5,,217,blue
207,c,11,4,6,6,215,blue
208,c,12,4,7,,215,blue
209,c,13,4,7,,182,blue
210,c,14,4,,,182,blue
211,d,1,4,,,98,blue
212,d,2,4,8,,98,blue
213,d,3,4,16,9,112,blue
214,d,4,4,4,,112,blue
215,d,5,4,3,3,122,blue
216,d,6,4,13,,122,blue
217,d,7,4,26,17,114,blue
218,d,8,4,2,,114,blue
219,d,9,4,3,4,120,blue
220,d,10,4,9,,120,blue
221,d,11,4,10,8,115,blue
222,d,12,4,10,,115,blue
223,d,13,4,5,2,96,blue
224,d,14,4,2,,96,blue
